,StopUID,StopNameZh_tw,StopNameEn,PositionLat,PositionLon,GeoHash,Bearing,上車人數,下車人數
58,ILA115749,松羅,Songluo,24.65572,121.58068,wsqkq8kmg,W,0,0
59,ILA115750,松羅,Songluo,24.65562,121.58076,wsqkq8kmm,N,4,0
60,ILA115751,玉蘭,Yulan,24.66512,121.59351,wsqkqfjsw,N,3,0
61,ILA115752,檢查哨(九寮溪),Jiuliao River,24.671,121.6045,wsqkr5jwy,N,5,0
62,ILA115753,大同鄉公所,Datong Township Office,24.67601,121.60987,wsqkrk1s5,N,0,0
63,ILA115754,長嶺路,Changling Rd.,24.683875,121.622881,wsqkrte1f,N,0,0
64,ILA115755,頂粗坑,Dingcukeng,24.686774,121.626485,wsqkrwjdy,N,0,0
65,ILA115756,宜蘭職訓場,Yilan Vocational Training Chang,24.691666,121.632844,wsqkryfr6,N,2,0
66,ILA115757,冷水坑,Lengshuikeng,24.69562,121.63622,wsqkrzsy3,N,10,0
67,ILA115758,中華村,Zhonghua Village,24.69941,121.6433,wsqs803uq,E,0,0
68,ILA115759,粗坑路,Cukeng Rd.,24.702519,121.648645,wsqs80vyd,N,0,0
69,ILA115760,粗坑,Cukeng,24.707042,121.64761,wsqs81v0f,N,0,0
70,ILA115761,福德廟1,Fude Temple (1),24.70931,121.64964,wsqs84nw4,N,1,0
71,ILA115762,化育,Huayu,24.7110432690109,121.652831893805,wsqs868bk,E,0,0
72,ILA115763,下粗溪口,Xiacuxikou,24.70669,121.65908,wsqs83tqy,E,0,0
73,ILA115764,玉雲宮,Yuyun Temple,24.70874,121.6633,wsqs8d0db,N,0,0
74,ILA115765,上再連,Shangzailian,24.71121,121.66553,wsqs8dd1h,E,0,0
75,ILA115766,下湖口,Xiahukou,24.71259,121.66778,wsqs8dgc2,N,0,0
76,ILA115767,再連,Zailian,24.71232,121.67162,wsqs8dwxd,E,0,0
77,ILA115768,河堤,Heti,24.70953,121.67586,wsqs8f1xm,E,0,0
78,ILA115769,上深溝,Shangshengou,24.70952,121.6857,wsqs940z6,N,0,0
79,ILA115772,蚊煙路,Wenyan Rd.,24.71349,121.69203,wsqs94vqt,E,0,0
80,ILA115773,內城路,Neicheng Rd.,24.7151,121.6953,wsqs95pzf,E,3,0
81,ILA115774,下深溝,Xiashengou,24.71608,121.69724,wsqs973jx,E,28,0
82,ILA115775,成功路,Chenggong Rd.,24.717987,121.701508,wsqs97u2d,E,14,0
83,ILA115780,尚德村,Shangde Village,24.73714,121.71893,wsqs9z302,N,3,0
84,ILA115781,佛祖廟,Fozu Temple,24.73987,121.72144,wsqs9zfb5,E,1,0
85,ILA115782,員山鄉公所(員山公園),Yuanshan Township Office,24.74303,121.72344,wsqscbk69,N,5,0
86,ILA115784,員山機堡,Yuanshanjibao,24.746425,121.72863,wsqsf0bn6,E,48,6
87,ILA115785,七結,Qijie,24.749191,121.734143,wsqsf1kn7,E,1,14
88,ILA115787,負廓里,Fuguo Village,24.75413,121.744388,wsqsf67e3,E,5,1
89,ILA115788,泰山路,Taishan Rd.,24.75453,121.74792,wsqsf6qjs,E,2,9
90,ILA115943,綠九市場,Lujiu Market,24.74912,121.75524,wsqsf97qn,S,49,9
91,ILA115944,羅東夜市(中山公園),Luodong Night Market(Zhongshan Park),24.67661,121.76794,wsqs6uhxw,S,509,7
92,ILA115964,玉尊宮,Yuzun Temple,24.67004,121.70959,wsqs3e41r,W,5,112
93,ILA115965,大埔,Dapu,24.66809,121.70255,wsqs36tn4,W,26,367
94,ILA115966,行健路口,Xingjian Rd. Intersection,24.66772,121.6897,wsqs34eez,W,0,43
95,ILA115967,三星一站,Sanxing 1st Station,24.666595,121.653381,wsqs263m3,W,80,205
96,ILA115968,雙賢村,Shuangxian Village,24.6654299991341,121.646489956449,wsqs24hq8,W,1,14
97,ILA115970,天送埤,Tiansongbi,24.66183,121.621804,wsqkr9d39,W,5,167
98,ILA115971,長埤湖,Changbihu,24.64361,121.61134,wsqkpq4xm,W,0,1
99,ILA115972,清水大橋,Qingshui Bridge,24.63849,121.61393,wsqkpmk99,S,0,1
100,ILA115973,復興村,Fuxing Village,24.63208,121.60714,wsqkphps7,N,0,4
101,ILA115974,清水電廠,Qingshui Power Plant,24.64448,121.59857,wsqkpn3ks,W,0,0
102,ILA116019,清水電廠,Qingshui Power Plant,24.64443,121.59846,wsqkpn3k1,E,2,0
103,ILA116020,復興村,Fuxing Village,24.632,121.60708,wsqkphpef,S,8,0
104,ILA116021,清水大橋,Qingshui Bridge,24.63849,121.61407,wsqkpmk9t,N,4,0
105,ILA116022,長埤湖,Changbihu,24.64286,121.61094,wsqkpq47h,N,0,0
106,ILA116023,天送埤,Tiansongbi,24.66172,121.62181,wsqkr9d2c,E,198,1
107,ILA116025,雙賢村,Shuangxian Village,24.6652011382323,121.64652652918,wsqs24hm1,E,25,0
108,ILA116026,三星一站,Sanxing 1st Station,24.6664515049967,121.653315123694,wsqs263hr,E,200,83
109,ILA116027,行健路口,Xingjian Rd. Intersection,24.6676,121.68959,wsqs34eeh,E,42,0
110,ILA116028,大埔,Dapu,24.66778,121.70213,wsqs36su1,E,255,39
111,ILA116029,玉尊宮,Yuzun Temple,24.66993,121.70958,wsqs3e40y,E,88,8
112,ILA116030,廣興,Guangxing,24.67017,121.750194,wsqs67pf1,E,159,186
113,ILA116031,維揚路,Weiyang Rd.,24.6721138522886,121.762095604546,wsqs6g2mq,E,8,39
114,ILA116397,石頭橋,Shitou Bridge,24.626806,121.540874,wsqkjepme,S,0,0
115,ILA116398,赤水橋,Chishui Bridge,24.621265,121.535937,wsqkjd5v2,S,0,0
116,ILA116399,芃芃,Pengpeng,24.61115,121.52729,wsqkj2m6r,W,0,0
117,ILA116400,英士橋,Yingshi Bridge,24.610549998841,121.525579958315,wsqkj2hnz,S,0,0
118,ILA116402,棲蘭遊樂區,Qilan Amusement Area,24.58075,121.49497,wsq7udvcj,W,0,0
119,ILA116403,家源橋,Jiayuan Bridge,24.577404,121.49074,wsq7ud4vg,W,0,0
120,ILA116405,土場,Tuchang,24.57379,121.49621,wsq7u9wbd,S,0,0
121,ILA116406,獨立山,Dulishan,24.5752999987817,121.479519958966,wsq7u3f9m,W,0,0
122,ILA116407,加蘭,Jialan,24.553992,121.469655,wsq7sjgt2,W,0,0
123,ILA116408,留茂安,Liumao-an,24.5322928378781,121.451753191153,wsq7e9yqy,S,0,0
124,ILA116409,頂茂安,Dingmao-an,24.527768,121.450636,wsq7e9jss,S,0,0
125,ILA116410,四季村,Siji Village,24.4877525948122,121.425125545909,wsq771g56,S,0,0
126,ILA116412,四季道班,Sijidaoban,24.47078,121.41354,wsq74yf8s,W,0,0
127,ILA116413,四季平台,Sijipingtai,24.46779,121.4052,wsq74whx4,W,0,0
128,ILA116414,則前橋,Zeqian Bridge,24.46273,121.39496,wsq74mm1e,N,0,0
129,ILA116417,則前橋,Zeqian Bridge,24.4626,121.39494,wsq74mm0g,S,0,0
130,ILA116418,四季平台,Sijipingtai,24.4677,121.4052,wsq74whwd,E,0,0
131,ILA116419,四季道班,Sijidaoban,24.47072,121.41363,wsq74yf8q,E,0,0
132,ILA116421,四季村,Siji Village,24.487729,121.425377,wsq771g72,N,0,0
133,ILA116422,頂茂安,Dingmao-an,24.527898,121.450825,wsq7e9jv3,N,0,0
134,ILA116423,留茂安,Liumao-an,24.5322599988253,121.451939959263,wsq7e9ywg,N,0,0
135,ILA116424,加蘭,Jialan,24.5537585123312,121.469557373729,wsq7sjgkj,E,0,0
136,ILA116425,獨立山,Dulishan,24.574879,121.477194,wsq7u38zp,E,0,0
137,ILA116426,土場,Tuchang,24.57367,121.49638,wsq7u9wbn,N,0,0
138,ILA116428,家源橋,Jiayuan Bridge,24.577291,121.49093,wsq7ud4vp,E,0,0
139,ILA116429,棲蘭遊樂區,Qilan Amusement Area,24.58079,121.49478,wsq7udvc3,E,0,0
140,ILA116431,英士橋,Yingshi Bridge,24.610441,121.525683,wsqkj2hq1,N,0,0
141,ILA116432,芃芃,Pengpeng,24.61085,121.52731,wsqkj2m2x,S,0,0
142,ILA116433,赤水橋,Chishui Bridge,24.6211577180732,121.536134846529,wsqkjd5ut,N,0,0
143,ILA116434,石頭橋,Shitou Bridge,24.6266356855166,121.541057961467,wsqkjepkx,N,0,0
144,ILA116447,福德廟2,Fude Temple (2),24.5748747750016,121.496141788209,wsq7u9wz1,N,0,0
145,ILA116472,金六結,Jinliujie,24.751773,121.738855,wsqsf1zt8,E,17,22
146,ILA116530,綠九市場,Lujiu Market,24.749304,121.755546,wsqsf97xj,N,8,62
147,ILA116544,白鵝村,Baie Village,24.79886,121.76438,wsqt4f6pg,N,21,4
148,ILA116556,白雲路,Baiyun Rd.,24.83669,121.78646,wsqt736hn,E,2,10
149,ILA116559,中崙,Zhonglun,24.84157,121.80181,wsqt7dm2e,E,0,10
150,ILA116561,頂埔,Dingpu,24.84566,121.80807,wsqt7g1bm,W,54,10
151,ILA116565,頭城站,Toucheng Station,24.85794,121.82553,wsqtkjnxu,S,159,15
152,ILA116570,頂埔,Dingpu,24.845501,121.808134,wsqt7fczx,E,7,38
153,ILA116572,中崙,Zhonglun,24.841843,121.80191,wsqt7dm6n,S,11,0
154,ILA116573,二城,Ercheng,24.83872,121.79295,wsqt73ybj,W,40,4
155,ILA116575,白雲路,Baiyun Rd.,24.83689,121.78629,wsqt736j6,W,15,4
156,ILA116585,三民村,Sanmin Village,24.80507,121.76549,wsqt4gduj,S,5,7
157,ILA116628,珍珠村,Zhenzhu Village,24.647384,121.784401,wsqs5qbtq,S,2,7
158,ILA116629,楓橋,Fengqiao,24.6433,121.78646,wsqs5q4jw,S,0,7
159,ILA116753,北橋頭,Beiqiaotou,24.72165,121.76983,wsqsduqn4,S,0,4
160,ILA116766,砂港,Shagang,24.65269,121.78157,wsqs5pysk,S,2,9
161,ILA116787,加油站,Gas Station,24.595709,121.84615,wsqeutt8m,E,9,19
162,ILA116790,蘇澳港,Su-ao Port,24.59621,121.85575,wsqeuvsek,E,5,10
163,ILA116799,蘇澳港,Su-ao Port,24.59636,121.85589,wsqeuvsu0,S,2,6
164,ILA116802,加油站,Gas Station,24.59599,121.84788,wsqeutwfj,W,42,20
165,ILA116821,楓橋,Fengqiao,24.64347,121.78671,wsqs5q4qs,N,1,0
166,ILA116836,北橋頭,Beiqiaotou,24.72184,121.76996,wsqsduqpj,N,3,6
167,ILA221943,金六結,Jinliujie,24.75199,121.73894,wsqsf1zwf,W,16,5
168,ILA222150,聖湖,Shenghu,24.5965,121.8382,wsqeumxug,W,66,45
169,ILA222167,珍珠村,Zhenzhu Village,24.6479,121.78448,wsqs5r0b2,N,8,4
170,ILA222168,砂港,Shagang,24.65285,121.78182,wsqs5pyv6,N,11,7
171,ILA222174,中山西路,Zhongshan W. Rd.,24.675022,121.763785,wsqs6gcwm,N,0,4
172,ILA222175,民生路口,Minsheng Rd. Intersection,24.67781,121.76377,wsqs6u3wt,N,0,1
173,ILA222176,公正路口,Gongzheng Rd. Intersection,24.68132,121.76462,wsqs6v471,N,0,0
174,ILA222182,二結村,Erjie Village,24.706101,121.771383,wsqsdcx5q,N,33,22
175,ILA222194,北門,Beimen,24.759172,121.753009,wsqsfe3bd,N,39,28
176,ILA222219,二城,Ercheng,24.83857,121.79331,wsqt73xpj,E,10,25
177,ILA222224,頭城家商,Tou Cheng Domesti-Affair And Commercial Senior Hig,24.84965,121.81561,wsqt7gxrt,E,0,97
178,ILA227178,中興文創(四結),Chung Hsing Cultural And Creative Park,24.694536,121.769412,wsqs6ztb0,S,7,10
179,ILA227208,仁澤路口,Renze Rd. Intersection,24.5542199989742,121.507969958383,wsq7svzqs,E,0,0
180,ILA227209,仁澤(鳩之澤),Renze(Jioujhihze),24.54565,121.50831,wsq7sursu,W,0,0
181,ILA227210,中間,Zhongjian,24.54144,121.51288,wsq7t5dup,S,0,0
182,ILA227211,蘭台,Lantai,24.53755,121.52158,wsq7t6cmd,S,0,0
183,ILA227212,白嶺,Bailing,24.52753,121.51881,wsq7t1p71,W,0,0
184,ILA227214,太平山,Taipingshan,24.49651,121.5351,wsq7me7nt,S,0,0
185,ILA227215,太平山,Taipingshan,24.49634,121.53529,wsq7me7m9,N,0,0
186,ILA227217,白嶺,Bailing,24.527444,121.518736,wsq7t1p4x,E,0,0
187,ILA227218,蘭台,Lantai,24.5376099990905,121.521719958075,wsq7t6cmv,N,0,0
188,ILA227219,中間,Zhongjian,24.541395,121.512994,wsq7t5e5c,N,0,0
189,ILA227220,仁澤(鳩之澤),Renze(Jioujhihze),24.54556,121.50832,wsq7sursm,W,0,0
190,ILA227221,仁澤路口,Renze Rd. Intersection,24.55427,121.50799,wsq7svzqv,W,0,0
191,ILA227254,二結,Erjie,24.70344,121.76801,wsqsdchgb,S,8,8
192,ILA234592,北門,Beimen,24.75942,121.75308,wsqsfe3fh,N,13,5
193,ILA234595,梅洲里,Meizhou Village,24.77405,121.74791,wsqsfmyp7,E,0,0
194,ILA234598,龍潭路口,Longtan Rd. Intersection,24.786903,121.741111,wsqt4234j,W,0,0
195,ILA234601,仁愛之家,Ren-ai Home,24.783266,121.743461,wsqsfrduu,S,0,0
196,ILA234603,游泳池,Swimming Pool,24.78012,121.74203,wsqsfr1fd,E,0,0
197,ILA234604,游泳池,Swimming Pool,24.78016,121.74205,wsqsfr1fg,S,0,0
198,ILA234612,梅洲里,Meizhou Village,24.7740856,121.7480029,wsqsfmypw,W,0,0
199,ILA234615,北門,Beimen,24.759673,121.75302,wsqsfe3gd,S,2,40
200,ILA234663,員山公園,Yuanshan Park,24.74491,121.72265,wsqscbetx,N,20,6
201,ILA234664,敬業新村,Jingye Village,24.747171,121.719744,wsqscc1de,E,0,0
202,ILA234665,員山溫泉,Yuanshan Hot Spring,24.749401,121.713171,wsqsc9kzd,S,1,14
203,ILA234666,湖東,Hudong,24.74694,121.70687,wsqsc901r,S,0,15
204,ILA234668,農會辦事處,Farmer Assc. Office,24.74498,121.70036,wsqsc2emz,S,0,2
205,ILA234669,湖北,Hubei,24.745405,121.698367,wsqsc2f03,W,0,26
206,ILA234670,明光寺,Mingguang Temple,24.74606,121.6947,wsqsc0zkh,S,0,18
207,ILA234671,大湖遊樂區,Dahu Amusement Area,24.74678,121.69234,wsqsc1j8m,S,0,14
208,ILA234672,大湖國小,Dahu Elementary School,24.747466,121.69014,wsqsc1hh3,W,0,26
209,ILA234673,西山廟,Xishan Temple,24.748134,121.688524,wsqsc16bk,W,0,8
210,ILA234674,隘界,Aijie,24.7487799989824,121.685049956132,wsqsc12k5,W,0,2
211,ILA234675,隘界路,Aijie Rd.,24.749183,121.679575,wsqsbckq7,W,0,2
212,ILA234676,崩山湖,Bengshanhu,24.74924,121.67685,wsqsbc6qu,W,0,19
213,ILA234677,淨水廠,Purification Plant,24.74958,121.67086,wsqsb9w0b,W,0,0
214,ILA234678,圳頭,Juntou,24.75002,121.66799,wsqsb9egm,W,0,10
215,ILA234679,圳頭,Juntou,24.749775,121.667978,wsqsb9ecv,E,11,0
216,ILA234680,淨水廠,Purification Plant,24.74941,121.67083,wsqsb9mzz,N,0,0
217,ILA234681,崩山湖,Bengshanhu,24.74909,121.67693,wsqsbc6mv,E,5,0
218,ILA234682,隘界路,Aijie Rd.,24.748974,121.679486,wsqsbckm1,E,1,0
219,ILA234683,隘界,Aijie,24.74864382458,121.685035424294,wsqsc1276,E,4,0
220,ILA234684,西山廟,Xishan Temple,24.747937,121.688513,wsqsc14z5,E,5,0
221,ILA234685,大湖國小,Dahu Elementary School,24.747321,121.690008,wsqsc15gw,E,15,0
222,ILA234686,大湖遊樂區,Dahu Amusement Area,24.74665,121.6923,wsqsc0vxs,E,18,0
223,ILA234687,明光寺,Mingguang Temple,24.74596,121.69464,wsqsc0z7d,E,22,0
224,ILA234688,湖北,Hubei,24.745246,121.698005,wsqsc29z9,S,16,0
225,ILA234689,農會辦事處,Farmer Assc. Office,24.74472,121.700483,wsqsc2es6,E,0,0
226,ILA234691,湖東,Hudong,24.74673,121.70679,wsqsc900j,N,9,1
227,ILA234692,員山溫泉,Yuanshan Hot Spring,24.749452,121.713538,wsqsc9t04,E,16,0
228,ILA234693,敬業新村,Jingye Village,24.74715,121.71961,wsqscc1d8,E,1,0
229,ILA234694,員山公園,Yuanshan Park,24.74489,121.72256,wsqscbetm,E,21,4
230,ILA234707,五穀廟,Wugu Temple,24.75379,121.75156,wsqsfd2c2,S,34,1
231,ILA234708,普門診所,Pumen Clinic,24.748996,121.750169,wsqsf3rv2,S,15,13
232,ILA234709,宜蘭大學,National Ilan University,24.745743,121.74873,wsqsf2ydr,W,45,4
233,ILA234710,自強路口,Ziqiang Rd. Intersection,24.742521,121.7472,wsqsf2jxe,S,3,4
234,ILA234711,進士里,Jinshi Village,24.73606,121.74056,wsqsdr0cb,S,0,5
235,ILA234712,育才國小,Yu-Cai Elementary School,24.73402,121.73744,wsqsdnwqp,E,0,6
236,ILA234714,惠好橋,Huihao Bridge,24.72362,121.72666,wsqs9uy9s,W,1,16
237,ILA234715,深溝村,Shengou Village,24.72316,121.72203,wsqs9ueqb,W,4,40
238,ILA234716,深溝龍,Shengoulong,24.72309,121.71377,wsqs9stq2,W,0,6
239,ILA234721,榮光路,Rongguang Rd.,24.7175,121.69231,wsqs95ttu,N,0,22
240,ILA234722,內城,Neicheng,24.720935,121.688747,wsqs9h71c,W,0,78
241,ILA234723,榮總員山分院,Veterans General Hospital Yuanshan Branch,24.721279,121.688182,wsqs9h6eu,W,0,61
242,ILA234724,榮總員山分院,Veterans General Hospital Yuanshan Branch,24.7212,121.68793,wsqs9h67q,E,101,0
243,ILA234725,內城,Neicheng,24.72078,121.689,wsqs9h70z,E,47,0
244,ILA234726,榮光路,Rongguang Rd.,24.71756,121.69222,wsqs95tw4,S,23,0
245,ILA234731,深溝龍,Shengoulong,24.72299,121.71376,wsqs9stmb,E,7,0
246,ILA234732,深溝村,Shengou Village,24.723008,121.721919,wsqs9uejy,E,27,6
247,ILA234733,惠好橋,Huihao Bridge,24.723481,121.726759,wsqs9uy8x,E,13,0
248,ILA234734,惠德橋,Huide Bridge,24.729594,121.731959,wsqsdjfs2,E,8,0
249,ILA234735,育才國小,Yu-Cai Elementary School,24.73391,121.73749,wsqsdnwt3,S,2,0
250,ILA234736,進士里,Jinshi Village,24.736022,121.74067,wsqsdr0cg,E,7,1
251,ILA234737,自強路口,Ziqiang Rd. Intersection,24.742455,121.747331,wsqsf2jxn,N,3,5
252,ILA234738,宜蘭大學,National Ilan University,24.745793,121.7487815,wsqsf2yf8,N,4,26
253,ILA234739,普門診所,Pumen Clinic,24.748948,121.75029,wsqsf3rv5,E,3,16
254,ILA234740,五穀廟,Wugu Temple,24.7536855840766,121.751860041016,wsqsfd2bx,N,0,32
255,ILA234746,宜蘭教會,Yilan Church,24.75613,121.756,wsqsfdsnb,N,84,0
256,ILA234747,延平,Yanping,24.75467,121.76286,wsqsff3n2,E,11,0
257,ILA234748,黎明國小,Liming Elementary School,24.75258,121.76456,wsqsff44p,E,6,0
258,ILA234749,中華國中,Zhonghua Junior High School,24.75138,121.76749,wsqsfcu7h,E,3,1
259,ILA234750,黎明村,Liming Village,24.750227,121.772875,wsqsg18k9,E,0,2
260,ILA234752,五大楓林,Wuda Fenglin,24.7476699993876,121.782429954439,wsqsg1pm8,E,1,12
261,ILA234754,壯圍國小,Zhuangwei Elementary School,24.745002,121.788897,wsqsg2eyn,E,4,8
262,ILA234756,吉祥路,Jixiang Rd.,24.743145,121.79329,wsqsg2r5m,E,0,0
263,ILA234757,下壯五,Xiazhuangwu,24.73585,121.80055,wsqsexh2y,S,0,1
264,ILA234758,壯圍大橋,Zhuangwei Bridge,24.7355237931822,121.809621264076,wsqseygnc,E,0,2
265,ILA234760,南庵寺,Nan-an Temple,24.728864,121.819816,wsqssjf2p,E,0,1
266,ILA234761,廓後,Kuohou,24.72705,121.82097,wsqssj7md,S,0,2
267,ILA234762,下社,Xiashe,24.720911,121.820822,wsqssh71w,E,0,0
268,ILA234763,東港,Donggang,24.71945,121.82638,wsqsshp30,E,0,2
269,ILA234764,東港,Donggang,24.71954,121.8264,wsqsshp3b,W,3,0
270,ILA234765,下社,Xiashe,24.72103,121.82086,wsqssh74r,W,0,0
271,ILA234766,廓後,Kuohou,24.72709,121.82117,wsqssj7mx,N,8,0
272,ILA234767,南庵寺,Nan-an Temple,24.72887,121.82003,wsqssjf8h,N,8,0
273,ILA234769,壯圍大橋,Zhuangwei Bridge,24.735754,121.809628,wsqsez504,W,2,0
274,ILA234770,下壯五,Xiazhuangwu,24.73627,121.80052,wsqsexh7j,N,1,0
275,ILA234771,吉祥路,Jixiang Rd.,24.74332,121.79334,wsqsg2rhq,W,2,0
276,ILA234773,壯圍國小,Zhuangwei Elementary School,24.74513,121.78903,wsqsg2snf,N,6,0
277,ILA234775,五大楓林,Wuda Fenglin,24.7478581791907,121.782506398332,wsqsg1pqd,W,1,5
278,ILA234777,黎明村,Liming Village,24.75038,121.77313,wsqsg18mr,W,0,0
279,ILA234778,中華國中,Zhonghua Junior High School,24.75158,121.76755,wsqsfcukm,W,1,1
280,ILA234779,黎明國小,Liming Elementary School,24.75265,121.76463,wsqsff469,W,0,1
281,ILA234780,延平,Yanping,24.75471,121.76285,wsqsff3n8,N,2,16
282,ILA234781,宜蘭教會,Yilan Church,24.75628,121.7559,wsqsfdezy,S,0,63
283,ILA234791,帝爺廟,Diye Temple,24.74899,121.77894,wsqsg1ktq,E,3,6
284,ILA234800,復興村,Fuxing Village,24.739287,121.817302,wsqssp8su,N,4,28
285,ILA234801,後埤,Houbi,24.74685,121.81636,wsqsgcpby,N,0,10
286,ILA234802,公路頭,Gonglutou,24.74936,121.81606,wsqsgcrxr,N,0,3
287,ILA234803,漁寮,Yuliao,24.75432,121.81578,wsqsgfrs3,N,0,14
288,ILA234804,鼻頭,Bitou,24.7578301963471,121.815751045062,wsqsggp8b,N,0,19
289,ILA234807,三塊厝,Sankuaicuo,24.76833,121.81586,wsqsguztg,N,0,3
290,ILA234808,永鎮濱海遊憩區,Yongzhen Seaside Park,24.77511,121.81541,wsqsgypm2,N,0,17
